time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,4.793690095539204776e-05,-1.150485593825578690e-03,-1.883454853668808937e-03,-9.116927161812782288e-03,-4.551243619062006474e-04,5.410223093349486589e-05
2.000093460083007812e-03,-4.793690095539204776e-05,-3.834952076431363821e-04,-1.883454853668808937e-03,-9.116927161812782288e-03,-4.551243619062006474e-04,5.410223093349486589e-05
4.000425338745117188e-03,-9.587380191078409553e-05,-3.834952076431363821e-04,-1.142352633178234100e-02,-4.804400727152824402e-02,2.601724991109222174e-04,-1.025988676701672375e-04
6.079912185668945312e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.091863028705120087e-02,1.482008993625640869e-01,2.338308404432609677e-04,1.123184483731165528e-04
8.080244064331054688e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.091863028705120087e-02,1.482008993625640869e-01,2.338308404432609677e-04,1.123184483731165528e-04
1.008057594299316406e-02,-5.273059359751641750e-04,1.917476067319512367e-03,-1.003096997737884521e-01,8.030719161033630371e-01,7.902407087385654449e-04,5.997221544384956360e-02
1.208424568176269531e-02,-3.739078296348452568e-03,1.265534199774265289e-02,-6.240392923355102539e-01,3.219399452209472656e+00,4.941576626151800156e-03,6.191303953528404236e-02
1.408433914184570312e-02,-3.739078296348452568e-03,1.265534199774265289e-02,-6.240392923355102539e-01,3.219399452209472656e+00,4.941576626151800156e-03,6.191303953528404236e-02
1.608443260192871094e-02,-9.491506032645702362e-03,3.067961707711219788e-02,-1.319778919219970703e+00,5.709177494049072266e+00,6.468656007200479507e-03,6.132673844695091248e-02
1.808452606201171875e-02,-1.706553623080253601e-02,5.522330850362777710e-02,-1.978132486343383789e+00,7.954259872436523438e+00,7.733112666755914688e-03,6.033742055296897888e-02
2.008461952209472656e-02,-1.706553623080253601e-02,5.522330850362777710e-02,-1.978132486343383789e+00,7.954259872436523438e+00,7.733112666755914688e-03,6.033742055296897888e-02
2.208471298217773438e-02,-2.646116912364959717e-02,8.590292930603027344e-02,-2.613941669464111328e+00,1.016167259216308594e+01,1.125223562121391296e-02,5.007492378354072571e-02
2.408480644226074219e-02,-3.782221302390098572e-02,1.211844831705093384e-01,-3.217215776443481445e+00,1.121353244781494141e+01,1.552082225680351257e-02,4.031416028738021851e-02
2.608489990234375000e-02,-3.782221302390098572e-02,1.211844831705093384e-01,-3.217215776443481445e+00,1.121353244781494141e+01,1.552082225680351257e-02,4.031416028738021851e-02
2.808499336242675781e-02,-4.956675693392753601e-02,1.622184664011001587e-01,-3.621806383132934570e+00,1.328148651123046875e+01,1.115783862769603729e-02,5.593779310584068298e-02
3.008508682250976562e-02,-6.313289701938629150e-02,2.055534273386001587e-01,-4.088295459747314453e+00,1.420336341857910156e+01,2.293559350073337555e-02,2.118961513042449951e-02
3.208518028259277344e-02,-6.313289701938629150e-02,2.055534273386001587e-01,-4.088295459747314453e+00,1.420336341857910156e+01,2.293559350073337555e-02,2.118961513042449951e-02
3.408646583557128906e-02,-7.665110379457473755e-02,2.515728473663330078e-01,-4.257789611816406250e+00,1.486333274841308594e+01,1.549248676747083664e-02,4.723579064011573792e-02
3.608655929565429688e-02,-8.978581428527832031e-02,2.979757785797119141e-01,-4.353572845458984375e+00,1.556279182434082031e+01,3.046226315200328827e-02,1.969545381143689156e-03
3.808665275573730469e-02,-8.978581428527832031e-02,2.979757785797119141e-01,-4.353572845458984375e+00,1.556279182434082031e+01,3.046226315200328827e-02,1.969545381143689156e-03
4.008674621582031250e-02,-1.023452803492546082e-01,3.413107395172119141e-01,-4.267707347869873047e+00,1.433329296112060547e+01,2.066380903124809265e-02,3.527422621846199036e-02
4.208683967590332031e-02,-1.146171316504478455e-01,3.873301744461059570e-01,-4.152653217315673828e+00,1.444591236114501953e+01,3.736403957009315491e-02,-1.622142642736434937e-02
4.408693313598632812e-02,-1.146171316504478455e-01,3.873301744461059570e-01,-4.152653217315673828e+00,1.444591236114501953e+01,3.736403957009315491e-02,-1.622142642736434937e-02
4.608702659606933594e-02,-1.247797533869743347e-01,4.287476539611816406e-01,-3.755424976348876953e+00,1.399956035614013672e+01,2.551429904997348785e-02,2.343111857771873474e-02
4.808712005615234375e-02,-1.342233270406723022e-01,4.667136669158935547e-01,-3.399325847625732422e+00,1.263604831695556641e+01,4.129551351070404053e-02,-2.430487237870693207e-02
5.008745193481445312e-02,-1.342233270406723022e-01,4.667136669158935547e-01,-3.399325847625732422e+00,1.263604831695556641e+01,4.129551351070404053e-02,-2.430487237870693207e-02
5.208754539489746094e-02,-1.409344822168350220e-01,4.989272654056549072e-01,-2.830066680908203125e+00,1.115854740142822266e+01,3.181323036551475525e-02,1.194008812308311462e-02
5.408763885498046875e-02,-1.460157930850982666e-01,5.276893973350524902e-01,-2.221890687942504883e+00,9.687436103820800781e+00,4.352494329214096069e-02,-3.473916277289390564e-02
5.608773231506347656e-02,-1.460157930850982666e-01,5.276893973350524902e-01,-2.221890687942504883e+00,9.687436103820800781e+00,4.352494329214096069e-02,-3.473916277289390564e-02
