time,pos1,pos2,vel1,vel2,acc1,acc2
0.0,0.0,0.7071067811865475,4.523850558214255,2.6556549888179237,-0.06429370156002534,-5.062501020947074
0.002,0.00904770111642851,0.7124180911641833,4.523721970811135,2.6455299867760296,-0.1285855756141263,-7.612478934021505
0.004,0.01809488788324454,0.7176889011336516,4.523336215911798,2.6252050730818377,-0.25716384131113657,-10.199766689519828
0.006,0.027141045980075704,0.7229189114565107,4.52269331544589,2.6047309200179503,-0.3857274875904704,-10.274095392379111
0.008,0.0361856611450281,0.7281078248137234,4.521793305961436,2.5841086915123213,-0.5142692057833465,-10.347840026764255
0.01,0.04522821920392145,0.73325534622256,4.520636238622757,2.5633395599108932,-0.6427816884644333,-10.420996400382965
0.012,0.05426820609951913,0.738361183053367,4.519222179207579,2.5424247059107894,-0.7712576298710694,-10.49356035440907
0.014,0.06330510792075177,0.7434250450462031,4.5175512081032725,2.521365318493257,-0.8996897263231496,-10.565527763684024
0.016,0.07233841093193222,0.74844664432734,4.515623420302286,2.5001625948560533,-1.0280706766279124,-10.636894536952823
0.018000000000000002,0.08136760160196091,0.7534256954256273,4.513438925396761,2.4788177403454457,-1.1563931824991602,-10.707656617085725
0.02,0.09039216663351926,0.7583619152887218,4.510997847572289,2.4573319683877104,-1.2846499489755914,-10.777809981370122
0.022,0.09941159299225007,0.7632550232991782,4.5083003256008585,2.435706500419965,-1.4128336848358014,-10.8473506417045
0.024,0.1084253679359227,0.7681047412904016,4.505346512832946,2.4139425658208924,-1.540937103005735,-10.916274644764966
0.026000000000000002,0.11743297904358185,0.7729107935624617,4.5021365771888355,2.3920414018409053,-1.6689529209770182,-10.98457807232478
0.028,0.12643391424467804,0.7776729068977652,4.498670701149038,2.3700042535315933,-1.7968738612248458,-11.052257041441193
0.03,0.135427661848178,0.7823908105765881,4.494949081743936,2.3478323736751405,-1.924692651615434,-11.119307704636427
0.032,0.14441371057165378,0.7870642363924658,4.490971930542576,2.3255270227130476,-2.052402025823019,-11.185726250174998
0.034,0.1533915495703483,0.7916929186674403,4.486739473640644,2.3030894686744405,-2.179994723743972,-11.251508902250572
0.036000000000000004,0.16236066846621636,0.7962765942671636,4.4822519516476005,2.2805209871040453,-2.3074634919046932,-11.31665192121567
