name,csv,peak_q1,peak_q2,peak_v1,peak_v2,peak_a1,peak_a2,safe
S01,stress_trajs/S01.csv,1.4,1.399996929457531,1.7592803103566454,1.7592764518244441,2.210762293146651,2.210757444407463,True
S02,stress_trajs/S02.csv,1.2,1.0,4.523625531698533,3.769687943082111,17.052656625859974,14.210547188218126,True
S03,stress_trajs/S03.csv,0.9999999996263499,0.7999988544486151,9.165296396453552,7.5014789548618,86.9822138191234,68.00526784718097,True
S04,stress_trajs/S04.csv,1.5,1.0,3.7698119650060806,2.513207976671076,9.474321501001803,16.3130562268321,True
S05,stress_trajs/S05.csv,1.2,0.9999996250611507,1.6199886592704216,1.3499905493933206,2.8882979974120815,2.406914995656262,True
S06,stress_trajs/S06.csv,3.041592653589793,0.8,0.9424390387092529,0.6282926924728649,3.917419367560626,3.1447000742779174,True
S07,stress_trajs/S07.csv,0.5,0.5248489587649303,6.058052563104056,5.912505399775005,98.28007857628995,106.36859359672957,True
S08,stress_trajs/S08.csv,1.0,1.0,4.3978752185011025,3.455579965873232,19.341306437506976,11.941032900542048,True
S09,stress_trajs/S09.csv,1.1999999991571997,0.9999999915259458,0.8776922153631572,2.0764542756761593,7.92226957322173,66.72136290841748,True
S10,stress_trajs/S10.csv,1.8,0.8,3.9583269803586334,1.759256435714948,8.704640268575314,3.8687290082561887,True
