time,pos1,pos2,vel1,vel2,acc1,acc2
0.0,0.0,0.6928203230275509,1.2567623466957145,0.5016106607849125,0.06132700272909464,-0.5228269361057247
0.002,0.002513524693391429,0.6938235443491207,1.2568850007011727,0.500565006912701,0.09100288959784653,-0.7847983023237526
0.004,0.005027540002804691,0.6948225830552017,1.257126358254106,0.49847146757561744,0.11870235973354681,-1.0478842831090907
0.006,0.007542030126407853,0.6958174302194232,1.257359810140107,0.49637346978026464,0.11474715660952928,-1.0501111430208376
0.008,0.010056979243365119,0.6968080769343228,1.257585346880544,0.4942710230035341,0.11078722428009558,-1.0523332536413466
0.01,0.01257237151393003,0.6977945143114374,1.2578029590372273,0.49216413676569926,0.10682258352218144,-1.054550592953507
0.012,0.015088191079514028,0.6987767334813856,1.2580126372146327,0.49005282063172007,0.10285325605025042,-1.0567631385655085
0.014,0.01760442206278856,0.6997547255939642,1.2582143720614283,0.4879370842114372,0.09887926330542918,-1.0589708682728904
0.016,0.02012104856775974,0.7007284818182313,1.2584081542678545,0.4858169371586285,0.0949006268022301,-1.0611737598434368
0.018000000000000002,0.02263805467985998,0.7016979933425987,1.2585939745686372,0.4836923891720635,0.09091736812710804,-1.063371791065748
0.02,0.02515542446603429,0.7026632513749196,1.258771823740363,0.4815634499943655,0.08692950859323645,-1.0655649398255695
0.022,0.02767314197482143,0.7036242471425762,1.2589416926030101,0.4794301294127612,0.0829370704518162,-1.0677531836894572
0.024,0.03019119123644633,0.7045809718925706,1.2591035720221702,0.4772924372596077,0.07894007568148842,-1.069936500355806
0.026000000000000002,0.03270955626291011,0.7055334168916146,1.259257452905736,0.475150383411338,0.07493854529366795,-1.0721148679185277
0.028,0.035228221048069275,0.706481573426216,1.2594033262033448,0.47300397778793357,0.07093250141010365,-1.0742882641037732
0.03,0.03774716956772349,0.7074254328027664,1.2595411829113765,0.4708532303549229,0.06692196674812356,-1.076456666367076
0.032,0.04026638577971478,0.7083649863476357,1.2596710140703373,0.46869815112246527,0.06290696322835965,-1.0786200525317313
0.034,0.04278585362400484,0.7093002254072562,1.25979281076429,0.46653875014479596,0.05888751284255367,-1.0807784004487897
0.036000000000000004,0.04530555702277194,0.7102311413482149,1.2599065641217075,0.4643750375206701,0.0548636374894107,-1.0829316879901185
0.038,0.04782547988049167,0.7111577255573389,1.2600122653142476,0.4622070233928355,0.05083535948052775,-1.0850798929165628
0.04,0.05034560608402893,0.7120799694417862,1.2601099055596297,0.46003471794900386,0.046802702061587986,-1.0872229926697785
0.042,0.05286591950273019,0.7129978644291349,1.260199476122494,0.45785813142215637,0.04276568717337392,-1.0893609651702052
0.044,0.055386403988518906,0.7139114019674748,1.2602809683083231,0.45567727408832304,0.03872433682827747,-1.091493788372977
0.046,0.05790704337596348,0.7148205735254882,1.260354373469807,0.45349215626866446,0.03467867449191697,-1.0936214397475053
0.048,0.060427821482398135,0.7157253705925495,1.2604196830062908,0.451302788329333,0.03062872249059989,-1.0957438971379019
0.05,0.06294872210798864,0.7166257846788056,1.2604768883597695,0.44910918068011285,0.02657450339949019,-1.0978611383744008
