time,pos1,pos2,vel1,vel2,acc1,acc2
0.0,0.0,-0.0,0.000657806774668633,-0.000143961599942423,0.32872792540459195,-0.07194239997123457
0.002,1.315613549337266e-06,-2.8792319988484604e-07,0.0013152626254778169,-0.00028784639988489215,0.49296029165959465,-0.1078847999568691
0.004,5.261050501911268e-06,-1.1513855995395685e-06,0.0026296479413070117,-0.0005755007997698995,0.6569294650200106,-0.14376959994253816
0.006,1.1834205314565312e-05,-2.589926398964444e-06,0.003942980485557859,-0.0008629247996550448,0.6564030792308373,-0.14365439994260745
0.008,2.1032972444142705e-05,-4.603084798159748e-06,0.005255260258230361,-0.0011501183995403293,0.655876693441664,-0.1435391999426766
0.01,3.285524634748676e-05,-7.19039999712576e-06,0.006566487259324515,-0.0014370815994257512,0.6553503076524908,-0.14342399994274546
0.012,4.729892148144077e-05,-1.0351411195862753e-05,0.007876661488840324,-0.0017238143993113112,0.6548239218633177,-0.1433087999428147
0.014,6.436189230284805e-05,-1.4085657594371005e-05,0.009185782946777786,-0.00201031679919701,0.6542975360741433,-0.1431935999428841
0.016,8.404205326855192e-05,-1.8392678392650794e-05,0.010493851633136897,-0.0022965887990828476,0.6537711502849689,-0.14307839994295293
0.018000000000000002,0.00010633729883539565,-2.3272012790702396e-05,0.011800867547917662,-0.0025826303989688218,0.6532447644957943,-0.1429631999430211
0.02,0.00013124552346022256,-2.872319998852608e-05,0.013106830691120074,-0.002868441598854932,0.6527183787066221,-0.14284799994309097
0.022,0.00015876462159987594,-3.4745779186122125e-05,0.01441174106274415,-0.0031540223987411857,0.652191992917453,-0.14273279994316132
0.024,0.00018889248771119916,-4.1339289583490825e-05,0.015715598662789886,-0.0034393727986275773,0.6516656071282778,-0.14261759994322937
0.026000000000000002,0.0002216270162510355,-4.8503270380632434e-05,0.017018403491257262,-0.003724492798514103,0.6511392213391026,-0.14250239994329805
0.028,0.0002569661016762282,-5.623726077754724e-05,0.018320155548146297,-0.0040093823984007695,0.6506128355499297,-0.14238719994336774
0.03,0.0002949076384436207,-6.454079997423551e-05,0.01962085483345698,-0.004294041598287574,0.6500864497607654,-0.14227199994343925
0.032,0.00033544952101005615,-7.341342717069753e-05,0.020920501347189358,-0.004578470398174527,0.6495600639715932,-0.1421567999435084
0.034,0.0003785896438323781,-8.285468156693362e-05,0.022219095089343353,-0.004862668798061608,0.6490336781823915,-0.14204159994357038
0.036000000000000004,0.00042432590136742956,-9.286410236294396e-05,0.023516636059918924,-0.005146636797948808,0.6485072923932202,-0.1419263999436404
0.038,0.0004726561880720538,-0.00010344122875872885,0.024813124258916235,-0.005430374397836169,0.6479809066040689,-0.14181119994371646
0.04,0.0005235783984030945,-0.00011458559995428864,0.0261085596863352,-0.005713881597723674,0.6474545208148847,-0.14169599994378126
0.042,0.0005770904268173946,-0.00012629675514962355,0.027402942342175773,-0.005997158397611294,0.6469281350257108,-0.14158079994384867
0.044,0.0006331901677717976,-0.00013857423354473382,0.028696272226438044,-0.006280204797499069,0.6464017492365604,-0.1414655999439256
0.046,0.0006918755157231468,-0.00015141757433961983,0.029988549339122015,-0.006563020797386997,0.645875363447396,-0.14135039994399562
0.048,0.0007531443651282856,-0.0001648263167342818,0.03127977368022763,-0.006845606397275051,0.6453489776581901,-0.14123519994405542
0.05,0.0008169946104440573,-0.00017879999992872003,0.032569945249754775,-0.0071279615971632185,0.6448225918689858,-0.14111999994412044
0.052000000000000005,0.0008834241461273048,-0.00019333816312293469,0.03385906404770357,-0.007410086397051533,0.6442962060798554,-0.14100479994420043
0.054,0.0009524308666348716,-0.00020844034551692616,0.0351471300740742,-0.00769198079694002,0.6437698202907179,-0.14088959994427366
0.056,0.0010240126664236016,-0.00022410608631069477,0.03643414332886644,-0.007973644796828628,0.6432434345014799,-0.1407743999443322
0.058,0.0010981674399503374,-0.00024033492470424068,0.037720103812080116,-0.008255078396717349,0.6427170487122679,-0.14065919994439524
0.06,0.001174893081671922,-0.00025712639989756416,0.039005011523715515,-0.008536281596606209,0.642190662923179,-0.14054399994447522
0.062,0.0012541874860451995,-0.0002744800510906655,0.04028886646377283,-0.00881725439649525,0.6416642771340415,-0.14042879994455218
0.064,0.0013360485475270134,-0.00029239541748354517,0.04157166863225168,-0.009097996796384417,0.6411378913448087,-0.1403135999446122
0.066,0.0014204741605742062,-0.0003108720382762032,0.04285341802915207,-0.009378508796273699,0.6406115055556053,-0.14019839994467526
0.068,0.0015074622196436216,-0.00032990945266863996,0.0441341146544741,-0.009658790396163118,0.6400851197664401,-0.14008319994474874
0.07,0.0015970106191921026,-0.00034950719986085566,0.04541375850821783,-0.009938841596052694,0.6395587339772628,-0.13996799994481526
0.07200000000000001,0.001689117253676493,-0.00036966481905285073,0.04669234959038315,-0.01021866239594238,0.6390323481880993,-0.1398527999448818
0.074,0.0017837800175536352,-0.0003903818494446252,0.047969887900970225,-0.010498252795832221,0.6385059623990139,-0.13973759994496915
0.076,0.0018809968052803739,-0.0004116578302361796,0.04924637343997921,-0.010777612795722256,0.6379795766098227,-0.13962239994503872
0.078,0.001980765511313552,-0.0004334923006275142,0.050521806207409516,-0.011056742395612376,0.6374531908205656,-0.13950719994509528
0.08,0.002083084030110012,-0.0004558847998186291,0.05179618620326147,-0.011335641595502637,0.6369268050313882,-0.1393919999451553
0.082,0.002187950256126598,-0.00047883486700952475,0.05306951342753507,-0.011614310395392997,0.6364004192422369,-0.13927679994523182
0.084,0.0022953620838201522,-0.0005023420414002011,0.05434178788023042,-0.011892748795283565,0.6358740334530578,-0.1391615999453053
0.08600000000000001,0.0024053174076475196,-0.000526405862190659,0.0556130095613473,-0.012170956795174218,0.6353476476638805,-0.13904639994536142
0.088,0.0025178141220655414,-0.000551025868580898,0.05688317847088594,-0.01244893439506501,0.6348212618747309,-0.1389311999454453
