time,pos1,pos2,vel1,vel2,acc1,acc2
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,7.842205373912501e-12,0.0,7.842205373912501e-09,0.0,1.1757422287032251e-05,0.0
0.004,7.832791905685286e-11,0.0,6.264350830902785e-08,0.0,4.693558274019073e-05,0.0
0.006,3.520758178251861e-10,0.0,2.1110439045930538e-07,0.0,0.00010539353380507212,0.0
0.008,1.0628239293977283e-09,0.0,4.996437211132367e-07,0.0,0.0001869906106706119,0.0
0.01,2.536866973191488e-09,0.0,9.743993226805228e-07,0.0,0.0002915864312690845,0.0
0.012,5.192494832050764e-09,0.0,1.6812285361787532e-06,0.0,0.000419040896276103,0.0
0.014,9.539432154949599e-09,0.0,2.6657087867200822e-06,0.0,0.0005692141891106195,0.0
0.016,1.6178279090667585e-08,0.0,3.973138148997905e-06,0.0,0.0007419667759349246,0.0
0.018000000000000002,2.579995315243903e-08,0.0,5.648535912773542e-06,0.0,0.0009371594056546486,0.0
0.02,3.918513221357548e-08,0.0,7.736643148362904e-06,0.0,0.0011546531099187586,0.0
0.022,5.7203698634061564e-08,0.0,1.0281923272123183e-05,0.0,0.0013943092031195629,0.0
0.024,8.081418451812429e-08,0.0,1.3328562611939533e-05,0.0,0.0016559892823927078,0.0
0.026000000000000002,1.1106321810277555e-07,0.0,1.6920470972711725e-05,0.0,0.0019395552276171779,0.0
0.028,1.490849712773281e-07,0.0,2.1101282201840824e-05,0.0,0.0022448692014152964,0.0
0.03,1.9610060823388485e-07,0.0,2.5914354754715915e-05,0.0,0.0025717936491527265,0.0
0.032,2.534177352488015e-07,0.0,3.140277226020075e-05,0.0,0.0029201912989384685,0.0
0.034,3.2242985159512265e-07,0.0,3.760934408612039e-05,0.0,0.0032899251616248654,0.0
0.036000000000000004,4.0461580158599094e-07,0.0,4.4576605904747925e-05,0.0,0.0036808585308075945,0.0
0.038,5.0153922774903e-07,0.0,5.234682025829113e-05,0.0,0.004092854982825671,0.0
0.04,6.148480251317003e-07,0.0,6.096197712437921e-05,0.0,0.004525778376761456,0.0
0.042,7.46273796737629e-07,0.0,7.046379448154939e-05,0.0,0.0049794928544406435,0.0
