time,pos1,pos2,vel1,vel2,acc1,acc2
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,4.9008729308583376e-11,6.031800744285673e-11,7.351297787554016e-08,9.047643965984229e-08,7.351268765736788e-05,9.047501090198418e-05
0.004,3.9206704837856874e-10,4.825303435531879e-10,2.940484288944874e-07,3.6188861374975425e-07,0.00014702189271572431,0.00018093287708492137
0.006,1.3232106166099594e-09,1.6284627588045425e-09,6.615959053377629e-07,8.14185089647686e-07,0.00022052413267999827,0.0002713564558765426
0.008,3.1364472330957207e-09,3.859803855469665e-09,1.1761379946867013e-06,1.447280153139337e-06,0.00029401592526299725,0.00036172860869793566
0.01,6.125742907507657e-09,7.538036533986909e-09,1.8376503201427424e-06,2.2610538186511322e-06,0.00036749378848934,0.0004520322031097244
0.012,1.0585007932229525e-08,1.3024369463884593e-08,2.646101541354979e-06,3.255351843574992e-06,0.0004409542407993818,0.0005422501148576503
0.014,1.68080829561531e-08,2.0679668587445576e-08,3.60145335535555e-06,4.429985746683502e-06,0.0005143938011531298,0.0006323652299173563
0.016,2.508872506055282e-08,3.0864388664291084e-08,4.703660497702846e-06,5.784732830633681e-06,0.0005878089891341455,0.0007223604465381729
0.018000000000000002,3.5720593837454704e-08,4.39385048650589e-08,5.952670743832507e-06,7.319336208557171e-06,0.0006611963250534316,0.000812218677285709
0.02,4.899723747091491e-08,6.026144442234617e-08,7.34842491061618e-06,9.033504834734224e-06,0.0007345523300533021,0.0009019228510830469
0.022,6.521207882162366e-08,8.01920183470817e-08,8.890856858127998e-06,1.0926913539348549e-05,0.0008078735262112316,0.000991455915250343
0.024,8.465840151524985e-08,1.040883532184858e-07,1.0579893491618723e-05,1.2999203067319574e-05,0.0008811564366436816,0.0010808008375426358
0.026000000000000002,1.0762933603494127e-07,1.3230782305576893e-07,1.2415454763697537e-05,1.5249980121208368e-05,0.000954397585609902,0.0011699406081856606
0.028,1.3441784581839625e-07,1.6520698127971266e-07,1.439745367672138e-05,1.7678817408193055e-05,0.0010275934986157039,0.0012588582419094771
0.03,1.6531671335992176e-07,2.0314149277226703e-07,1.652579628539184e-05,2.0285253691109115e-05,0.0011007407025172033,0.0013475367799797046
0.032,2.0061852631789203e-07,2.4646606604228916e-07,1.880038169955946e-05,2.306879384354958e-05,0.001173835725624531,0.001435959292226172
0.034,2.40615663628024e-07,2.955343855055378e-07,2.1221102087235477e-05,2.6028908909019827e-05,0.0012468750978055067,0.0015241088790687845
0.036000000000000004,2.8560028162288286e-07,3.506990438870274e-07,2.378784267781081e-05,2.916503616414111e-05,0.0013198553505892774,0.0016119686735404045
0.038,3.358643001580332e-07,4.1231147475383255e-07,2.6500481765482305e-05,3.2476579185896704e-05,0.0013927730172699105,0.0016995218433065572
0.04,3.916993887452502e-07,4.807218851864226e-07,2.9358890712886226e-05,3.59629079229142e-05,0.0014656246330099513,0.001786751592681756
0.042,4.5339695269320375e-07,5.562791885965903e-07,3.2362933954938614e-05,3.962335877077679e-05,0.0015384067349439269,0.0018736411646422535
0.044,5.212481192560311e-07,6.393309377000262e-07,3.5512469002882776e-05,4.345723465135637e-05,0.0016111158622818076,0.0019601738428350287
0.046,5.955437237902122e-07,7.302232576515764e-07,3.880734644854361e-05,4.7463805096160735e-05,0.001683748556412416,0.002046332953582798
0.048,6.765742959201577e-07,8.293007793511979e-07,4.224740996878861e-05,5.164230633368657e-05,0.0017563013610067827,0.0021321018678848724
0.05,7.64630045712929e-07,9.369065729286232e-07,4.5832496330195636e-05,5.599194138076992e-05,0.001828770822121447,0.0022174640034136536
0.052000000000000005,8.600008498624979e-07,1.053382081414714e-06,4.9562435393927194e-05,6.0511880137925015e-05,0.0019011534883016984,0.0023024028265065753
0.054,9.629762378839632e-07,1.1790670546074713e-06,5.3437050120811076e-05,6.520125948866241e-05,0.001973445910684759,0.002386901854153302
0.056,1.0738453783181323e-06,1.3142994831406576e-06,5.745615657662744e-05,7.005918340277658e-05,0.0020456446431029005,0.0024709446559779834
0.058,1.1928970649468867e-06,1.459415532762951e-06,6.161956393760186e-05,7.508472304359273e-05,0.0021177462421865,0.0025545148562163686
0.06,1.3204197030197358e-06,1.6147494788355445e-06,6.592707449610462e-05,8.027691687916282e-05,0.00218974726746702,0.0026375961356876008
0.062,1.4567012954919787e-06,1.7806336410560807e-06,7.037848366655582e-05,8.563477079739954e-05,0.0022616442814799276,0.0027201722337604835
0.064,1.6020294292748793e-06,1.957398318416778e-06,7.497357999153614e-05,9.115725822513708e-05,0.00233343384986753,0.002802226950314031
0.066,1.7566912614982705e-06,2.145371724404599e-06,7.97121451481034e-05,9.684332025110726e-05,0.0024051125414817427,0.0028837441476921187
0.068,1.920973505785996e-06,2.344879922451278e-06,8.459395395431444e-05,0.00010269186575281885,0.002476676928486775,0.0029647077526520284
0.07,2.0951624185445995e-06,2.556246761640991e-06,8.96187743759523e-05,0.00010870177152732764,0.0025481235864617357,0.0030451017583067097
0.07200000000000001,2.2795437852656785e-06,2.77979381268346e-06,9.478636753345859e-05,0.00011487188242588469,0.0026194490945031577,0.0031249102260605616
0.074,2.474402906842301e-06,3.0158403041602083e-06,0.00010009648770907076,0.00012120101149244941,0.002690650035327431,0.0032041172875385414
0.076,2.680024585899912e-06,3.2647030590517097e-06,0.00010554888235416427,0.00012768794010605434,0.0027617229953731557,0.0032827071465084193
0.078,2.89669311314211e-06,3.526696431553083e-06,0.00011114329209679914,0.00013433141812700672,0.0028326645649033974,0.003360664080795986
0.08,3.124692253711747e-06,3.8021322441860466e-06,0.00011687945074947117,0.0001411301640469142,0.0029034713381078533,0.003437972444193022
0.082,3.364305233567711e-06,4.0913197252147106e-06,0.0001227570853170672,0.00014808286514251824,0.002974139913204919,0.003514616668357845
0.084,3.615814725877837e-06,4.394565446372837e-06,0.00012877591600502457,0.00015518817763332163,0.003044666892543662,0.003590581264708253
0.08600000000000001,3.879502837428341e-06,4.712173260910156e-06,0.00013493565622769437,0.0001624447268429939,0.003115048882705691,0.003665850826306668
0.088,4.155651095050171e-06,5.044444241965218e-06,0.0001412360126169082,0.0001698511073645388,0.0031852824946069216,0.0037404100297372942
