time,pos1,pos2,vel1,vel2,acc1,acc2,tau1,tau2
0.2002086639404297,1.9423631823018143e-05,0.0007647052783859157,0.007142240819859882,-0.027370612066206265,-0.013776060017179825,-0.24860393841066872,9.555087149997158e-07,0.0002878354363181104
0.20220923423767087,2.389142653425458e-05,0.0007687971941864964,0.007154814212261839,-0.027860371039287627,-0.019737609746228253,-0.24377362427379995,-1.059920695982931e-06,0.0003033830034649793
0.2042093276977539,2.8729861745049968e-05,0.0007711095738089385,0.007145461312207507,-0.028316076859834935,-0.02578693638275415,-0.23917336376703752,-2.0950393073239836e-06,0.00031953572782882474
0.20620942115783691,3.364857964448319e-05,0.000772229713153662,0.007113631797249179,-0.028737217369837902,-0.03190561456774568,-0.23483793838360453,-2.0263839480449952e-06,0.0003360701250290522
0.20820951461791992,3.832937721967369e-05,0.0007728487212026484,0.007058885533678527,-0.029123398417666015,-0.03807502190448003,-0.2308009570508735,-7.544631915626917e-07,0.00035275377802547556
0.21020960807800293,4.244788541588929e-05,0.0007737177792759271,0.006980901962683417,-0.02947435892997164,-0.04427640783618331,-0.22709465706401644,1.7885265222568216e-06,0.00036935850509643345
0.2122097015380859,4.569719261733655e-05,0.0007756025606794422,0.006879487088411974,-0.029789973246628708,-0.05049096314998021,-0.22374970707667602,5.629620521112711e-06,0.0003856706182445911
0.21420979499816897,4.7810780255369075e-05,0.000779237468950201,0.0067545773640742,-0.030070246607230088,-0.05669988977813295,-0.2207950129796559,1.0747134699909113e-05,0.00040149793941575564
0.21621012687683103,4.8581993300335695e-05,0.0007852791697342525,0.006606239982634513,-0.0303153154772064,-0.06288447056174667,-0.2182575275250566,1.7065351525269698e-05,0.0004166741234887151
0.2182102203369141,4.787845171601984e-05,0.0007942599999909149,0.006434669764449181,-0.030525460550377533,-0.06902613863904211,-0.21616206457741657,2.4451793596354335e-05,0.0004310612421684555
0.22021031379699707,4.565088592047952e-05,0.0008065458736993349,0.006240183199849043,-0.030701130328152988,-0.07510654611997568,-0.21453111889503731,3.27173289553873e-05,0.0004445514732734042
0.22221040725708008,4.193612171388389e-05,0.0008223054344490223,0.006023210089928644,-0.03084296734337453,-0.0811076317113677,-0.2133846923633719,4.1620291852424374e-05,0.000457070094510397
0.22421050071716309,3.685393002784086e-05,0.0008414957900374411,0.0057842830980762054,-0.03095182986528228,-0.08701168696172348,-0.21274012761762745,5.087512886181465e-05,0.00046858306742941335
0.2262105941772461,3.059790168224346e-05,0.0008638680251214787,0.005524025831331315,-0.031028804267155374,-0.09280142080245833,-0.21261195000291488,6.0164652024189444e-05,0.00047910915466063453
0.22821068763732913,2.3421351388847542e-05,0.0008889939158275544,0.00524314065214371,-0.031075205186945284,-0.09846002207198669,-0.2130117188265819,6.915472824220777e-05,0.0004887312007179424
0.2302110195159912,1.5619816230767045e-05,0.0009163119482749245,0.004942397587991687,-0.03109256466396847,-0.10397121972078616,-0.21394788885810181,7.751092388591045e-05,0.0004976003369309092
0.2322111129760742,7.511468839547336e-06,0.0009451862328304869,0.00462262505541378,-0.031082616424748077,-0.10931934040876652,-0.2154256830266992,8.49164808345871e-05,0.0005059305192917245
0.2342112064361572,-5.838859478222928e-07,0.0009749699414321391,0.0042847021791894875,-0.0310472825046502,-0.11448936322067098,-0.21744697725569953,9.108955848173648e-05,0.0005139840042094338
0.23621129989624023,-8.366628377242629e-06,0.0010050665681747846,0.003929552230177851,-0.030988666319414538,-0.11946697124049147,-0.22001019835547836,9.579705196838597e-05,0.0005220495054522453
0.23821139335632324,-1.557865082300214e-05,0.0010349844328973897,0.003558137303202436,-0.030909053438254907,-0.12423859974188824,-0.22311023587399012,9.886391929052628e-05,0.0005304163064769077
0.24021148681640625,-2.2022229735522578e-05,0.0010643807732025779,0.0031714550183939393,-0.030810919541977788,-0.12879148076830205,-0.22673836877522982,0.00010017896411473611,0.0005393497745872807
0.24221158027648923,-2.757437082644319e-05,0.0010930925964421632,0.0027705380125879744,-0.030696943360672135,-0.13311368389365058,-0.23088220778149512,9.969862208206035e-05,0.0005490731148098184
